"Count","Directory"
"202","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\照片"
"73","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\conference_papers"
"72","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\TGA\活動照片"
"33","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\conference_papers\assets"
"21","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\JpGU_2026_poster_drafts\old_versions_before_v8"
"17","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1\Slides"
"9","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\機加酒\source_docs"
"9","C:\Users\YFLin\OneDrive - 中原大學\Student_sync_zone\20_Undergrad_Teams_專題生\HW_Wang\programs\HW_Digital Twin_JpGU_20260210\tsmc_thermal_twin"
"9","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2024研討會\力學研討會"
"8","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\JpGU_列印包_20260520"
"8","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_lagging_theory_joh\assets"
"7","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_lagwise_spatial_hbm\overleaf_joh_submission"
"6","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_lagging_theory_joh\assets\lagwise_icons"
"6","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\JpGU\照片"
"5","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2024研討會"
"5","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_trt_dts_thermowise\tables"
"5","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU"
"5","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_trt_dts_thermowise\assets"
"4","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\農工研討會"
"3","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\JpGU"
"3","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\flow_matching_report\assets"
"3","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\JpGU_2026_poster_drafts"
"3","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\水利研討會\湘雯\CCS(final)"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\flow_matching_report"
"2","C:\Users\YFLin\OneDrive - 中原大學\Student_sync_zone\20_Undergrad_Teams_專題生\HW_Wang\programs\MLS_project\artifacts"
"2","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工R1"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\水利研討會\湘雯"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\.playwright-mcp"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\MLS_SLE"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\conference_papers\wentzell_interface_groundwater\poster"
"2","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\JpGU\機加酒"
"1","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\菲律賓演講"
"1","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\TGA"
"1","C:\Users\YFLin\OneDrive - 中原大學\Student_sync_zone\20_Undergrad_Teams_專題生\HW_Wang\programs\MLS_project\data\output"
"1","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\JpGU"
"1","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\農工研討會"
"1","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\4. 個人發展\d. 學術網路與聯繫\交大環工\1月16日 下午12-14"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\水利研討會"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\TGA"
"1","C:\Users\YFLin\OneDrive - 中原大學 (1)\中原林穎凡資料夾\2. 研究計畫\2025研討會\秋田TRT"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_dtrt_transformation_uncertainty\analysis"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_dtrt_transformation_uncertainty\tables"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\conference_papers\wentzell_interface_groundwater\scripts"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\conference_papers\wentzell_interface_groundwater\poster\qa_export"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_lagging_theory_joh\analysis"
"1","C:\Users\YFLin\OneDrive - 中原大學\Student_sync_zone\10_Grad_Students_碩士生\BC_Hsu\programs\raw data"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\水利研討會\競賽補助申請表"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2026研討會\地下水研討會\journal_lagging_theory_joh\overleaf_lagwise_joh_20260510_dongju"
"1","C:\Users\YFLin\OneDrive - 中原大學\中原林穎凡資料夾\2. 研究計畫\2025研討會\秋田TRT"
